,Statement 1,Statement 2,label,llm_class
0,new competitors [2],increasing profits for our clients [13],causal,causal
1,new competitors [2],"increased speed efficiency, and lower cost [11]",causal,causal
2,"increased speed efficiency, and lower cost [11]",increasing profits for our clients [13],causal,causal
3,"increased speed efficiency, and lower cost [11]",increasing profits for our clients [13],causal,causal
4,changing market driving the needs for new business model [15],increased importance of bundling products [16],causal,causal
5,increased dependency on devices (e.g. IoT) [18],increased risk of cyber attacks [19],causal,causal
6,increased risk of cyber attacks [19],increase in data privacy regulations [20],causal,causal
7,currency appreciation against US dollar [22],higher revenue for multinational companies [23],causal,causal
8,currency appreciation against US dollar [22],lower demand for USD [25],causal,causal
9,currency appreciation against US dollar [22],low price levels of goods and services [26],causal,causal
10,currency appreciation against US dollar [22],low inflation [27],causal,causal
11,currency appreciation against US dollar [22],decreasing trade deficit or increasing surplus [28],causal,causal
12,currency appreciation against US dollar [22],exchange outlook is positive [29],causal,causal
13,currency appreciation against US dollar [22],improved competitiveness [30],causal,causal
14,currency appreciation against US dollar [22],increased foreign direct investment [31],causal,causal
15,currency appreciation against US dollar [22],minimum or no black market FX rate [383],causal,causal
16,currency appreciation against US dollar [22],higher international reserves [384],causal,causal
17,currency appreciation against US dollar [22],strengthening economic environment [58],causal,causal
18,currency appreciation against US dollar [22],cheaper FX rate benefits net importer country [32],causal,causal
19,cheaper FX rate benefits net importer country [32],decrease in price of commodity [91],causal,causal
20,currency appreciation against US dollar [22],disadvantaged FX rate hurts net exporter country [36],causal,causal
21,disadvantaged FX rate hurts net exporter country [36],local business motivated to cut cost to be more competitive on global market [387],causal,causal
22,disadvantaged FX rate hurts net exporter country [36],promote local business [240],causal,causal
23,currency appreciation against US dollar [22],local corporations purchasing power increase [335],causal,causal
24,currency appreciation against US dollar [22],decrease in taxes [102],causal,causal
25,currency depreciation against US dollar [39],outpaced currency black market exchange rate [40],causal,causal
26,currency depreciation against US dollar [39],high inflation [41],causal,causal
27,currency depreciation against US dollar [39],exchange rate outlook is negative [42],causal,causal
28,currency depreciation against US dollar [39],lower revenue for multinational companies [43],causal,causal
29,currency depreciation against US dollar [39],increasing trade deficit [45],causal,causal
30,currency depreciation against US dollar [39],lower international reserves to GDP ratio [46],causal,causal
31,currency depreciation against US dollar [39],increasing debt levels [47],causal,causal
32,currency depreciation against US dollar [39],higher demand for USD [48],causal,causal
33,currency depreciation against US dollar [39],lower international reserves [393],causal,causal
34,currency depreciation against US dollar [39],weakening economic environment [309],causal,causal
35,currency depreciation against US dollar [39],competitive FX rate benefits net exporter country [49],causal,causal
36,competitive FX rate benefits net exporter country [49],decrease in price of commodity [91],causal,causal
37,currency depreciation against US dollar [39],capital controls (currency volatility) [52],causal,causal
